Date,Amount,lag_1,lag_2,lag_3,rolling_mean_7,rolling_std_7
2023-12-05,270.0,300.0,100.0,10.0,134.28571428571428,115.88171308956065
2023-12-05,300.0,270.0,300.0,100.0,164.28571428571428,128.95181824453368
2023-12-05,600.0,300.0,270.0,300.0,227.14285714285714,208.94291770036784
2023-12-05,30.0,600.0,300.0,270.0,230.0,205.5885859347899
2023-12-05,50.0,30.0,600.0,300.0,235.71428571428572,198.90174650290177
2023-12-05,100.0,50.0,30.0,600.0,235.71428571428572,198.90174650290177
2023-12-05,230.0,100.0,50.0,30.0,225.71428571428572,196.8804326536911
2023-12-05,160.0,230.0,100.0,50.0,210.0,197.14630776828287
2023-12-05,90.0,160.0,230.0,100.0,180.0,197.14630776828287
2023-12-05,50.0,90.0,160.0,230.0,101.42857142857143,71.28079952520326
2023-12-05,60.0,50.0,90.0,160.0,105.71428571428571,67.04653678780083
2023-12-05,30.0,60.0,50.0,90.0,102.85714285714286,70.16986193380573
2023-12-05,100.0,30.0,60.0,50.0,102.85714285714286,70.16986193380573
2023-12-05,90.0,100.0,30.0,60.0,82.85714285714286,42.31401884099438
2023-12-05,160.0,90.0,100.0,30.0,82.85714285714286,42.31401884099438
2023-12-05,50.0,160.0,90.0,100.0,77.14285714285714,43.86125310350083
2023-12-05,30.0,50.0,160.0,90.0,74.28571428571429,46.49628761422356
2023-12-05,150.0,30.0,50.0,160.0,87.14285714285714,53.76314900074238
2023-12-05,100.0,150.0,30.0,50.0,97.14285714285714,47.50939756661509
2023-12-05,60.0,100.0,150.0,30.0,91.42857142857143,49.47341758579938
2023-12-05,160.0,60.0,100.0,150.0,101.42857142857143,55.805785670354545
2023-12-05,90.0,160.0,60.0,100.0,91.42857142857143,49.473417585799375
2023-12-04,30.1,90.0,160.0,60.0,88.58571428571429,52.71623496202346
2023-12-04,40.6,30.1,90.0,160.0,90.10000000000001,50.87288079124117
2023-12-04,33.35,40.6,30.1,90.0,73.43571428571428,46.93428663466185
2023-12-04,233.65,33.35,40.6,30.1,92.52857142857144,77.05859165348717
2023-12-04,30.1,233.65,33.35,40.6,88.25714285714287,79.93712335627312
2023-12-04,33.35,30.1,233.65,33.35,70.16428571428573,75.18417228316474
2023-12-04,143.95,33.35,30.1,233.65,77.87142857142858,80.15717298503121
2023-12-04,40.6,143.95,33.35,30.1,79.37142857142858,79.20683291832982
2023-12-04,400.0,40.6,143.95,33.35,130.71428571428572,141.70930842833835
2023-12-04,100.0,400.0,40.6,143.95,140.2357142857143,136.20947628036478
2023-12-04,160.0,100.0,400.0,40.6,129.71428571428572,130.5166806525942
2023-12-04,60.0,160.0,100.0,400.0,133.9857142857143,127.15933808377815
2023-12-04,90.0,60.0,160.0,100.0,142.07857142857145,121.35740554639511
2023-12-04,100.0,90.0,60.0,160.0,135.8,122.37706756850524
2023-12-04,50.0,100.0,90.0,60.0,137.14285714285714,121.20427463780318
2023-12-04,340.0,50.0,100.0,90.0,128.57142857142858,99.73775136636517
2023-12-04,130.0,340.0,50.0,100.0,132.85714285714286,98.94683517160122
2023-12-04,30.0,130.0,340.0,50.0,114.28571428571429,105.01700542565123
2023-12-04,300.0,30.0,130.0,340.0,148.57142857142858,122.12405870378507
2023-12-04,0.0,300.0,30.0,130.0,135.71428571428572,133.5236736634042
2023-12-04,1800.0,0.0,300.0,30.0,378.57142857142856,640.6618601474719
2023-12-04,160.0,1800.0,0.0,300.0,394.2857142857143,632.5571685061922
2023-12-04,60.0,160.0,1800.0,0.0,354.2857142857143,645.2869424490456
2023-12-04,90.0,60.0,160.0,1800.0,348.57142857142856,647.7764164542311
